Time,WindSpeed,WindAngle,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ
0.19,1.60000002384186,153,-0.0650195671152324,0.128669460508972,-9.80859140574932
0.5,1.60000002384186,153,-0.0725596841750667,0.104060421036556,-9.80866332650185
0.6,1.60000002384186,154,14.0683456004225,11.1221717421152,10.8083113241196
0.9,1.5,155,-0.0718606541119516,0.0922939776163548,-9.80985148072243
1.09,1.5,157,-0.0625410694442689,0.124460817407817,-9.80855222940445
1.4,1.5,154,-0.0690488286036998,0.124339085686952,-9.80869080841541
1.49,1.5,155,-0.0612402512552217,0.131408762270585,-9.80901942193508
1.69,1.5,158,-0.0718428977625445,0.0988008048757911,-9.80886330127716
1.79,1.39999997615814,159,-0.0682917969021946,0.121500637074932,-9.80892060399056
2,1.39999997615814,157,-0.065329848700203,0.0933096389751881,-9.81062448263168
2.09,1.39999997615814,157,-0.0727702661650255,0.0951581357046962,-9.81015904426575
2.29,1.39999997615814,158,-0.0618922158004716,0.122528961310163,-9.8090124052763
2.39,1.39999997615814,157,-0.0635117255151272,0.102904508728534,-9.81032627463341
2.59,1.29999995231628,157,-0.0669291444076225,0.127397572332993,-9.80840546429157
2.71,1.29999995231628,156,-0.0620638635568321,0.130238387240097,-9.80913753569126
2.89,1.29999995231628,158,-0.0725734022911638,0.0976108142640442,-9.81073441028595
3,1.29999995231628,158,-0.0709972761757672,0.111418995754793,-9.80749154448509
3.2,1.20000004768372,155,-0.0629848731122911,0.107971605313942,-9.81029703855514
3.3,1.10000002384186,154,-0.0659137068875134,0.0954736752156168,-9.81030873298645
3.5,1.10000002384186,153,-0.064692118470557,0.129344950960949,-9.80922875225544
3.6,1.10000002384186,155,-0.0628802993148565,0.130492549259216,-9.80839143097401
3.79,1,154,-0.0726898578135297,0.0998372238501906,-9.80850779056549
3.89,1,150,-0.0696903092740104,0.11780315939337,-9.8072962474823
4.2,1,147,-0.0710727098258212,0.0930482592992485,-9.80864169180393
4.39,0.899999976158142,146,-0.0621765275252983,0.12409860980697,-9.80836979627609
4.7,0.899999976158142,147,-0.0684511563694105,0.126651193527505,-9.80810491740704
4.81,0.899999976158142,146,-0.0625999801419675,0.131982730440795,-9.80937493264675
5.09,0.800000011920929,146,-0.0714962035557255,0.109218186009675,-9.80859140574932
5.29,0.899999976158142,144,-0.062894542766735,0.104876189846545,-9.80999298334122
5.4,0.899999976158142,145,-0.0678492174949497,0.0936503032408655,-9.80897849142552
5.59,0.899999976158142,147,-0.0615595594793558,0.131340898023918,-9.80880249023438
5.7,0.800000011920929,146,-0.0614650218794122,0.120477712377906,-9.8089855080843
5.89,0.800000011920929,147,-0.070378494579345,0.111639161696658,-9.80747868061066
6,0.800000011920929,148,-0.0672237390093505,0.125184035757557,-9.80894457757473
6.2,0.800000011920929,145,-0.0667223539715633,0.0941755476593971,-9.81026195526123
6.3,0.800000011920929,146,-0.07265161793679,0.0922244414314628,-9.80929891884327
6.5,0.800000011920929,145,-0.0623732406506315,0.129637202108279,-9.80849375724792
6.6,0.800000011920929,149,-0.0621513251122087,0.124844677979127,-9.80957022964954
6.79,0.800000011920929,150,-0.0722066676663235,0.103287921622396,-9.80923050642014
6.9,0.800000011920929,150,-0.0700733978301287,0.115060997977853,-9.80828793525696
7.09,0.699999988079071,147,-0.0635472016688436,0.101131815668195,-9.81065021038056
7.2,0.699999988079071,146,10.0702296920773,10.0918557379395,10.8097105628252
7.39,0.600000023841858,147,-0.0622132416442037,0.129281362490728,-9.80830021440983
7.5,0.600000023841858,146,-0.0608730780892074,0.11512724510394,-9.80935037434101
7.7,0.600000023841858,149,-0.0691063597239554,0.119638627795503,-9.80890072345734
7.8,0.600000023841858,147,-0.0636757581867278,0.130266910688952,-9.80960648238659
8,0.600000023841858,146,-0.0707754565682262,0.0923571914993227,-9.80952111303806
8.09,0.600000023841858,146,-0.0717976732039824,0.0982846510503441,-9.80966553926468
8.29,0.600000023841858,143,-0.0614429943216965,0.121646908828989,-9.8086709278822
8.4,0.600000023841858,145,-0.0614020957890898,0.111115470444784,-9.80962285459042
8.59,0.600000023841858,142,-0.0686855155136436,0.117492288518697,-9.80858614325523
8.7,0.699999988079071,141,-0.0668512713722885,0.123638507025316,-9.80806164801121
8.89,0.699999988079071,137,-0.0654590767342597,0.0958464717585594,-9.80981815159321
9,0.800000011920929,135,-0.0675352448550984,0.0931170919910073,-9.81030405521393
9.2,0.800000011920929,134,-0.0638696756120771,0.131632144181058,-9.80968775868416
9.3,0.899999976158142,133,-0.0617775098746643,0.129217545613647,-9.80887382626534
9.49,0.899999976158142,131,-0.0723614178830758,0.0998976146243513,-9.80973687529564
9.59,0.899999976158142,131,-0.0694625191111118,0.114965624408796,-9.80763597071171
9.8,1,129,-0.0643367630755529,0.100815545255318,-9.81041983008385
9.9,1,128,-0.0699606379307807,0.0911262064240873,-9.80912057876587
10.09,1.10000002384186,129,-0.0614723857166246,0.129555624313653,-9.80978716135025
10.2,1.10000002384186,131,-0.0617538880370557,0.120984318796545,-9.80967080175877
10.39,1.10000002384186,134,-0.0714947463199496,0.111463580774143,-9.80872179865837
10.5,1.10000002384186,136,-0.0611477282037958,0.106471894998103,-9.8103297829628
10.7,1.10000002384186,138,-0.0665452838363126,0.0935896931961179,-9.81101390719414
10.79,1,138,-0.0727469869377092,0.0949728611949831,-9.81030873298645
11,1,141,-0.0621625490253791,0.123820839654654,-9.80967606425285
11.1,1,144,-0.0641588661074638,0.101985362973064,-9.81114956259728
11.3,1.10000002384186,149,-0.0662127371504903,0.129262139769271,-9.80911765515804
11.4,1.10000002384186,152,-0.0617101663956419,0.127429594974965,-9.80966378509998
11.6,1,158,-0.0716366966161877,0.102244348945096,-9.80896094977856
11.71,1,160,-0.0692832242930308,0.119517663521692,-9.80795055091381
11.9,1,164,-0.066201714235358,0.0982112502213568,-9.81060460209846
12,1,165,-0.0688601142866537,0.0910575381852686,-9.81083615183831
12.2,1,166,-0.0621160179795697,0.129752967841923,-9.81023271918297
12.3,1,167,19.0624291729229,19.124765813658,19.8079423648119
12.49,1,167,-0.0730695156985894,0.102659464711323,-9.80915449261666
12.6,1,166,-0.0729627537634224,0.109325774777681,-9.80814175486565
12.8,0.899999976158142,165,-0.0627277966216207,0.109472402846441,-9.81090164065361
12.9,0.899999976158142,162,-0.065002966504544,0.0973080107197166,-9.8120862865448
13.09,0.800000011920929,163,-0.0647660400671884,0.130488346572965,-9.80989533483982
13.2,0.800000011920929,162,-0.0614158413140103,0.12899421852082,-9.80946147143841
13.39,0.800000011920929,161,-0.0723518384993076,0.0963864347152412,-9.81129574298859
13.49,0.800000011920929,161,-0.0718059872137383,0.1050796912238,-9.8084200823307
13.7,0.800000011920929,161,-0.060794917261228,0.113109864341095,-9.81013565540314
13.8,0.800000011920929,163,-0.0642792776366696,0.0980286252312362,-9.8117869091034
13.99,0.899999976158142,163,-0.0650490681454539,0.128596169315279,-9.80974798500538
14.11,0.800000011920929,163,-0.0610970538575202,0.13035535896197,-9.81073441028595
14.29,0.800000011920929,160,-0.0715598651161417,0.0952608091570437,-9.81061863541603
14.4,0.800000011920929,160,-0.0718602977972478,0.103928072964773,-9.80927026748657
14.59,0.899999976158142,160,-0.0611992887686938,0.112923392979428,-9.81168867588043
14.71,0.800000011920929,159,-0.064628781247884,0.0986138949729502,-9.81154717326164
14.89,0.800000011920929,158,-0.0658054877165705,0.127940806075931,-9.80984738767147
14.99,0.800000011920929,156,-0.0621548014646396,0.130869274400175,-9.80977312803268
